fecha,peso
07:36 AM,3.465
07:36 AM,3.435
07:36 AM,3.575
07:36 AM,3.275
07:36 AM,3.335
07:36 AM,3.525
07:37 AM,3.265
07:37 AM,3.435
07:37 AM,3.495
07:37 AM,3.455
07:37 AM,3.365
07:37 AM,3.265
07:37 AM,3.485
07:37 AM,3.445
07:37 AM,3.385
07:37 AM,3.355
07:37 AM,3.435
07:37 AM,3.315
07:37 AM,3.275
07:37 AM,3.375
07:37 AM,3.475
07:37 AM,3.155
07:37 AM,3.575
07:37 AM,3.375
07:37 AM,3.495
07:38 AM,3.225
07:38 AM,3.460
07:38 AM,3.555
07:38 AM,3.505
07:38 AM,3.485
07:38 AM,3.405
07:38 AM,3.355
07:38 AM,3.325
07:38 AM,3.385
07:38 AM,3.285
07:38 AM,3.415
07:39 AM,3.515
07:39 AM,3.285
07:39 AM,3.425
07:39 AM,3.465
07:39 AM,3.335
07:39 AM,3.455
07:39 AM,3.305
07:39 AM,3.425
07:39 AM,3.365
07:39 AM,3.505
07:39 AM,3.325
07:39 AM,3.535
07:39 AM,3.345
07:39 AM,3.415
07:39 AM,3.555
07:40 AM,3.355
07:40 AM,3.425
07:40 AM,3.485
07:40 AM,3.445
07:40 AM,3.345
07:40 AM,3.455
07:40 AM,3.515
07:40 AM,3.525
07:40 AM,3.675
07:40 AM,3.395
07:40 AM,3.465
07:40 AM,3.375
07:40 AM,3.485
07:40 AM,3.525
07:40 AM,3.285
07:41 AM,3.585
07:41 AM,3.375
07:41 AM,3.365
07:41 AM,3.295
07:41 AM,3.425
07:41 AM,3.535
07:41 AM,3.375
07:41 AM,3.345
07:41 AM,3.345
07:41 AM,3.265
07:41 AM,3.465
07:41 AM,3.295
07:41 AM,3.495
07:41 AM,3.425
07:41 AM,3.455
07:41 AM,3.385
07:42 AM,3.245
07:42 AM,3.345
07:42 AM,3.455
07:42 AM,3.265
07:42 AM,3.425
07:45 AM,3.395
07:45 AM,3.275
07:45 AM,3.325
07:45 AM,3.385
07:45 AM,3.345
07:45 AM,3.545
07:45 AM,3.475
07:45 AM,3.405
07:45 AM,3.605
07:45 AM,3.425
07:45 AM,3.475
07:45 AM,3.355
07:45 AM,3.375
07:46 AM,3.465
07:46 AM,3.415
07:46 AM,3.445
07:46 AM,3.315
07:46 AM,3.445
07:46 AM,3.345
07:46 AM,3.425
07:46 AM,3.535
07:46 AM,3.395
07:46 AM,3.405
07:46 AM,3.565
07:46 AM,3.475
07:46 AM,3.505
07:46 AM,3.375
07:46 AM,3.445
07:46 AM,3.415
07:46 AM,3.420
07:46 AM,3.415
07:47 AM,3.465
07:47 AM,3.360
07:47 AM,3.465
07:47 AM,3.245
07:47 AM,3.515
07:47 AM,3.355
07:47 AM,3.405
07:47 AM,3.375
07:47 AM,3.425
07:47 AM,3.345
07:47 AM,3.295
07:47 AM,3.355
07:47 AM,3.495
07:47 AM,3.465
07:47 AM,3.335
07:47 AM,3.460
07:47 AM,3.565
07:48 AM,3.265
07:48 AM,3.485
07:48 AM,3.390
07:48 AM,3.195
07:48 AM,3.415
07:48 AM,3.645
07:48 AM,3.465
07:48 AM,3.505
07:48 AM,3.210
07:48 AM,3.365
07:48 AM,3.495
07:48 AM,3.475
07:48 AM,3.375
07:48 AM,3.535
07:48 AM,3.455
07:48 AM,3.455
07:48 AM,3.305
07:48 AM,3.425
07:48 AM,3.425
07:48 AM,3.345
07:49 AM,3.385
07:49 AM,3.485
07:49 AM,3.395
07:49 AM,3.425
07:49 AM,3.440
07:49 AM,3.335
07:49 AM,3.385
07:49 AM,3.435
07:49 AM,3.445
07:49 AM,3.475
07:49 AM,3.575
07:49 AM,3.315
07:49 AM,3.275
07:49 AM,3.445
07:49 AM,3.295
07:50 AM,3.340
07:50 AM,3.445
07:50 AM,3.525
07:50 AM,3.325
07:50 AM,3.245
07:50 AM,3.505
07:50 AM,3.465
07:50 AM,3.355
07:50 AM,3.505
07:50 AM,3.305
07:53 AM,3.465
07:53 AM,3.445
07:53 AM,3.615
07:53 AM,3.385
07:53 AM,3.515
07:53 AM,3.475
07:53 AM,3.245
07:53 AM,3.455
07:53 AM,3.305
07:53 AM,3.425
07:53 AM,3.425
07:53 AM,3.335
07:53 AM,3.385
07:53 AM,3.275
07:53 AM,3.425
07:53 AM,3.565
07:53 AM,3.415
07:53 AM,3.570
07:53 AM,3.415
07:54 AM,3.415
07:54 AM,3.335
07:54 AM,3.405
07:54 AM,3.315
07:54 AM,3.465
07:54 AM,3.485
07:54 AM,3.465
07:54 AM,3.465
07:54 AM,3.325
07:54 AM,3.535
07:54 AM,3.285
07:54 AM,3.365
07:54 AM,3.565
07:54 AM,3.425
07:54 AM,3.485
07:54 AM,3.445
07:54 AM,3.445
07:55 AM,3.415
07:55 AM,3.445
07:55 AM,3.565
07:55 AM,3.435
07:55 AM,3.485
07:55 AM,3.255
07:55 AM,3.435
07:55 AM,3.610
07:55 AM,3.485
07:55 AM,3.755
07:55 AM,3.475
07:55 AM,3.355
07:55 AM,3.405
07:55 AM,3.495
07:55 AM,3.305
07:55 AM,3.245
07:55 AM,3.515
07:55 AM,3.405
07:55 AM,3.745
07:55 AM,3.485
07:55 AM,3.355
07:56 AM,3.165
07:56 AM,3.215
07:58 AM,3.435
07:58 AM,3.545
07:58 AM,3.285
07:58 AM,3.485
07:58 AM,3.225
07:58 AM,3.505
07:58 AM,3.455
07:58 AM,3.425
07:58 AM,3.265
07:58 AM,3.465
07:58 AM,3.375
07:58 AM,3.435
07:58 AM,3.365
07:58 AM,3.145
07:58 AM,3.505
07:58 AM,3.455
07:58 AM,3.475
07:58 AM,3.365
07:58 AM,3.315
07:58 AM,3.335
07:58 AM,3.245
07:59 AM,3.325
07:59 AM,3.355
07:59 AM,3.420
07:59 AM,3.375
07:59 AM,3.195
07:59 AM,3.395
07:59 AM,3.375
07:59 AM,3.225
07:59 AM,3.251
07:59 AM,3.505
07:59 AM,3.505
07:59 AM,3.375
07:59 AM,3.515
07:59 AM,3.335
08:00 AM,3.505
08:00 AM,3.405
08:00 AM,3.405
08:00 AM,3.225
08:00 AM,3.374
08:00 AM,3.355
08:00 AM,3.475
08:00 AM,3.415
08:00 AM,3.555
08:00 AM,3.315
08:00 AM,3.435
08:00 AM,3.435
08:00 AM,3.375
08:00 AM,3.565
08:00 AM,3.435
08:00 AM,3.415
08:01 AM,3.315
08:01 AM,3.355
08:01 AM,3.285
08:01 AM,3.515
08:01 AM,3.335
08:01 AM,3.545
08:01 AM,3.625
08:01 AM,3.465
08:01 AM,3.485
08:01 AM,3.515
08:01 AM,3.295
08:01 AM,3.495
08:01 AM,3.445
08:01 AM,3.515
08:01 AM,3.295
08:01 AM,3.305
08:01 AM,3.385
08:02 AM,3.445
08:02 AM,3.215
08:02 AM,3.545
08:02 AM,3.625
08:02 AM,3.465
08:02 AM,3.355
08:02 AM,3.385
08:02 AM,3.500
08:02 AM,3.325
08:02 AM,3.415
08:02 AM,3.455
08:02 AM,3.425
08:02 AM,3.420
08:02 AM,3.305
08:03 AM,3.305
08:03 AM,3.265
08:03 AM,3.435
08:03 AM,3.535
08:03 AM,3.285
08:03 AM,3.245
08:03 AM,3.435
08:03 AM,3.485
08:03 AM,3.285
08:03 AM,3.525
08:12 AM,3.315
08:12 AM,3.455
08:12 AM,3.305
08:12 AM,3.485
08:12 AM,3.445
08:12 AM,3.235
08:13 AM,3.445
08:13 AM,3.465
08:13 AM,3.405
08:13 AM,3.345
08:13 AM,3.445
08:13 AM,3.375
08:14 AM,3.375
08:14 AM,3.475
08:14 AM,3.455
08:14 AM,3.305
08:14 AM,3.265
08:14 AM,3.395
08:14 AM,3.425
08:14 AM,3.345
08:14 AM,3.505
08:15 AM,3.295
08:15 AM,3.380
08:15 AM,3.415
08:15 AM,3.265
08:15 AM,3.445
08:15 AM,3.445
08:15 AM,3.485
08:15 AM,3.415
08:15 AM,3.340
08:15 AM,3.365
08:15 AM,3.445
08:15 AM,3.255
08:15 AM,3.465
08:15 AM,3.435
08:15 AM,3.425
08:15 AM,3.355
08:15 AM,3.590
08:15 AM,3.565
08:16 AM,3.275
08:16 AM,3.455
08:16 AM,3.415
08:16 AM,3.305
08:16 AM,3.395
08:16 AM,3.395
08:16 AM,3.375
08:16 AM,3.405
08:16 AM,3.305
08:16 AM,3.285
08:16 AM,3.285
08:16 AM,3.485
08:16 AM,3.395
08:16 AM,3.460
08:16 AM,3.285
08:17 AM,3.515
08:17 AM,3.395
08:17 AM,3.425
08:17 AM,3.525
08:17 AM,3.465
08:17 AM,3.515
08:25 AM,2.020
08:25 AM,2.025
08:25 AM,2.135
08:25 AM,2.065
08:25 AM,2.195
08:25 AM,1.985
08:25 AM,2.155
08:26 AM,2.175
08:26 AM,2.020
08:26 AM,2.115
08:26 AM,2.120
08:26 AM,2.245
08:26 AM,2.175
08:26 AM,2.145
08:26 AM,2.195
08:26 AM,2.355
08:26 AM,2.305
08:26 AM,2.265
08:26 AM,2.265
08:26 AM,2.105
08:26 AM,2.365
08:26 AM,1.965
08:26 AM,2.165
08:26 AM,2.025
08:26 AM,2.075
08:26 AM,2.195
08:26 AM,2.235
08:27 AM,2.245
08:27 AM,2.275
08:27 AM,2.195
08:27 AM,2.075
08:27 AM,2.145
08:27 AM,2.155
08:27 AM,2.195
08:27 AM,2.205
08:27 AM,2.365
08:27 AM,2.230
08:27 AM,2.085
08:27 AM,2.180
08:27 AM,2.255
08:27 AM,2.415
08:27 AM,2.075
08:27 AM,2.085
08:27 AM,2.005
08:27 AM,2.255
08:27 AM,2.110
08:28 AM,2.125
08:28 AM,2.125
08:28 AM,2.195
08:28 AM,2.310
08:28 AM,2.225
08:28 AM,2.085
08:28 AM,2.115
08:29 AM,4.435
08:29 AM,2.175
08:29 AM,2.035
